game,game_url,tags,platforms,final price,original_price
Soul Guardians,https://store.steampowered.com/app/2126010/Soul_Guardians/?snr=1_239_new__tab-AllNewReleases,"RPG, Action RPG, 2D Platformer, Side Scroller",Windows,Free To Play,None
Tempo Trigger,https://store.steampowered.com/app/2202930/Tempo_Trigger/?snr=1_239_new__tab-AllNewReleases,"Music-Based Procedural Generation, Rhythm, FPS, Score Attack","Windows, Linux",COL$ 16.000,None
Rhythm Taichi XR,https://store.steampowered.com/app/2266270/Rhythm_Taichi_XR/?snr=1_239_new__tab-AllNewReleases,"Rhythm, 3D, Free to Play, Artificial Intelligence","Windows, VR Supported",Free To Play,None
Unknown Pyramid,https://store.steampowered.com/app/2188790/Unknown_Pyramid/?snr=1_239_new__tab-AllNewReleases,"Roguelike, Horror, Stealth, Action",Windows,COL$ 13.500,None
最终堡垒FinalFort,https://store.steampowered.com/app/2240200/FinalFort/?snr=1_239_new__tab-AllNewReleases,"Strategy, RTS, Tower Defense, Roguelike",Windows,COL$ 9.680,COL$ 11.000
Digimon World: Next Order,https://store.steampowered.com/app/1530160/Digimon_World_Next_Order/?snr=1_239_new__tab-AllNewReleases,"RPG, Party-Based RPG, Simulation, JRPG",Windows,COL$ 219.900,None
Carnival of Gods: Oppression,https://store.steampowered.com/app/1951530/Carnival_of_Gods_Oppression/?snr=1_239_new__tab-AllNewReleases,"RPG, Tactical RPG, Turn-Based Tactics, Fantasy",Windows,COL$ 33.000,None
FaceValue,https://store.steampowered.com/app/2222220/FaceValue/?snr=1_239_new__tab-AllNewReleases,"Exploration, Puzzle, Third Person, 3D",Windows,COL$ 8.250,COL$ 11.000
Dream Bright,https://store.steampowered.com/app/2280200/Dream_Bright/?snr=1_239_new__tab-AllNewReleases,"Adventure, Singleplayer, 3D Platformer, Atmospheric",Windows,Free,None
Museum of Monoliths,https://store.steampowered.com/app/2255120/Museum_of_Monoliths/?snr=1_239_new__tab-AllNewReleases,"Psychological Horror, Dark, Walking Simulator, Horror",Windows,COL$ 7.380,COL$ 8.200
Spellarium 9 Match 3 Puzzle,https://store.steampowered.com/app/2286960/Spellarium_9_Match_3_Puzzle/?snr=1_239_new__tab-AllNewReleases,"Adventure, Casual, Puzzle, Hidden Object",Windows,COL$ 16.450,COL$ 23.500
Universal Truck Simulator Tow Games,https://store.steampowered.com/app/2132680/Universal_Truck_Simulator_Tow_Games/?snr=1_239_new__tab-AllNewReleases,"Racing, 4X, Action-Adventure, Arcade",Windows,COL$ 8.100,COL$ 13.500
